Particle 18 (PDG=13, E=23.682 GeV)
84 hits:
Hit #   x [mm]      y [mm]      z [mm]      t [ns]      detector ID 
0       3924.206    3478.077    -3480.000   0.0000      3.0         
1       4097.133    3612.557    -3630.000   0.0000      3.0         
2       4082.133    3638.538    -3630.000   0.0000      3.0         
3       4447.496    3963.972    -3972.500   0.0000      3.0         
4       3450.423    2996.692    -3060.000   0.0000      3.0         
5       3608.351    3157.154    -3210.000   0.0000      3.0         
6       3766.278    3317.615    -3330.000   0.0000      3.0         
7       1932.547    1600.731    -1680.000   0.0986      2.0         
8       2047.295    1666.981    -1770.000   0.1000      2.0         
9       2731.417    2311.831    -2374.500   0.1024      2.0         
10      2078.195    1719.461    -1800.000   0.1097      2.0         
11      2147.044    1759.211    -1860.000   0.1100      2.0         
12      2246.792    1851.442    -1950.000   0.1103      2.0         
13      2346.540    1943.673    -2040.000   0.1110      2.0         
14      2446.289    2035.904    -2130.000   0.1123      2.0         
15      2177.943    1811.692    -1890.000   0.1129      2.0         
16      2277.691    1903.923    -1980.000   0.1133      2.0         
17      2377.440    1996.154    -2070.000   0.1141      2.0         
18      2546.037    2128.135    -2220.000   0.1142      2.0         
19      1978.446    1627.231    -1710.000   0.1145      2.0         
20      2477.188    2088.385    -2160.000   0.1154      2.0         
21      1781.022    1452.280    -1530.000   0.1170      1.0         
22      1699.380    1381.588    -1458.600   0.1178      1.0         
23      1757.331    1432.713    -1509.600   0.1181      1.0         
24      1723.071    1401.154    -1479.000   0.1184      1.0         
25      1746.761    1420.721    -1499.400   0.1189      1.0         
26      1712.500    1389.163    -1468.800   0.1192      1.0         
27      1838.973    1503.405    -1581.000   0.1193      1.0         
28      1804.713    1471.846    -1550.400   0.1195      1.0         
29      1770.452    1440.288    -1519.800   0.1195      1.0         
30      1736.191    1408.729    -1489.200   0.1198      1.0         
31      1828.403    1491.413    -1570.800   0.1202      1.0         
32      1794.142    1459.854    -1540.200   0.1202      1.0         
33      1817.833    1479.421    -1560.600   0.1210      1.0         
34      1718.697    1398.629    -1473.900   0.1210      1.0         
35      1776.649    1449.755    -1524.900   0.1214      1.0         
36      1697.557    1374.646    -1453.500   0.1215      1.0         
37      1742.388    1418.196    -1494.300   0.1216      1.0         
38      1708.127    1386.638    -1463.700   0.1219      1.0         
39      1800.339    1469.321    -1545.300   0.1221      1.0         
40      1766.078    1437.763    -1514.700   0.1222      1.0         
41      1731.817    1406.204    -1484.100   0.1225      1.0         
42      1824.030    1488.888    -1565.700   0.1228      1.0         
43      1789.769    1457.329    -1535.100   0.1229      1.0         
44      2254.742    1890.673    -1950.000   0.1229      2.0         
45      2223.842    1838.192    -1920.000   0.1229      2.0         
46      1755.508    1425.771    -1504.500   0.1230      1.0         
47      1813.459    1476.896    -1555.500   0.1236      1.0         
48      2055.245    1706.211    -1770.000   0.1236      2.0         
49      1785.395    1454.805    -1530.000   0.1241      1.0         
50      1837.150    1496.463    -1575.900   0.1243      1.0         
51      1738.014    1415.671    -1489.200   0.1243      1.0         
52      1703.753    1384.113    -1458.600   0.1245      1.0         
53      1761.705    1435.238    -1509.600   0.1249      1.0         
54      1727.444    1403.679    -1479.000   0.1251      1.0         
55      1693.183    1372.121    -1448.400   0.1253      1.0         
56      1819.656    1486.363    -1560.600   0.1255      1.0         
57      1751.135    1423.246    -1499.400   0.1257      1.0         
58      1716.874    1391.688    -1468.800   0.1259      1.0         
59      1843.347    1505.930    -1581.000   0.1261      1.0         
60      1809.086    1474.371    -1550.400   0.1262      1.0         
61      1774.825    1442.813    -1519.800   0.1263      1.0         
62      1832.776    1493.938    -1570.800   0.1269      1.0         
63      1798.516    1462.380    -1540.200   0.1270      1.0         
64      2124.094    1745.961    -1830.000   0.1296      2.0         
65      2024.346    1653.731    -1740.000   0.1302      2.0         
66      2323.591    1930.423    -2010.000   0.1303      2.0         
67      2523.087    2114.885    -2190.000   0.1308      2.0         
68      2423.339    2022.654    -2100.000   0.1314      2.0         
69      1924.597    1561.500    -1650.000   0.1320      2.0         
70      2154.993    1798.442    -1860.000   0.1322      2.0         
71      1955.497    1613.981    -1680.000   0.1342      2.0         
72      2269.742    1864.692    -1950.000   0.1427      2.0         
73      1901.647    1548.250    -1620.000   0.1428      2.0         
74      2001.396    1640.481    -1710.000   0.1465      2.0         
75      2369.490    1956.923    -2040.000   0.1473      2.0         
76      2469.238    2049.154    -2130.000   0.1487      2.0         
77      2200.893    1824.942    -1890.000   0.1489      2.0         
78      2101.144    1732.711    -1800.000   0.1491      2.0         
79      2300.641    1917.173    -1980.000   0.1494      2.0         
80      2400.389    2009.404    -2070.000   0.1504      2.0         
81      2500.138    2101.635    -2160.000   0.1519      2.0         
82      2739.181    2340.809    -2401.000   0.1599      2.0         
83      2047.295    1666.981    -1740.000   0.1621      2.0         
