Particle 37 (PDG=13, E=0.563 GeV)
47 hits:
Hit #   x [mm]      y [mm]      z [mm]      t [ns]      detector ID 
0       -584.313    -170.788    -2309.400   0.3841      1.0         
1       -585.633    -175.714    -2319.500   0.3850      1.0         
2       -584.313    -170.788    -2314.450   0.3857      1.0         
3       -585.633    -175.714    -2324.550   0.3864      1.0         
4       -585.633    -175.714    -2329.600   0.3878      1.0         
5       -580.707    -177.034    -2334.650   0.3927      1.0         
6       -582.027    -181.960    -2344.750   0.3930      1.0         
7       -580.707    -177.034    -2339.700   0.3940      1.0         
8       -582.027    -181.960    -2349.800   0.3942      1.0         
9       -582.027    -181.960    -2354.850   0.3953      1.0         
10      -582.027    -181.960    -2359.900   0.3964      1.0         
11      -582.027    -181.960    -2364.950   0.3975      1.0         
12      -583.347    -186.887    -2380.100   0.3984      1.0         
13      -582.027    -181.960    -2370.000   0.3985      1.0         
14      -583.347    -186.887    -2385.150   0.3994      1.0         
15      -582.027    -181.960    -2375.050   0.3996      1.0         
16      -583.347    -186.887    -2390.200   0.4004      1.0         
17      -583.347    -186.887    -2395.250   0.4014      1.0         
18      -583.347    -186.887    -2400.300   0.4024      1.0         
19      -583.347    -186.887    -2405.350   0.4035      1.0         
20      -583.347    -186.887    -2410.400   0.4045      1.0         
21      -583.347    -186.887    -2415.450   0.4056      1.0         
22      -583.347    -186.887    -2420.500   0.4067      1.0         
23      -583.347    -186.887    -2425.550   0.4077      1.0         
24      -583.347    -186.887    -2430.600   0.4088      1.0         
25      -583.347    -186.887    -2435.650   0.4099      1.0         
26      -583.347    -186.887    -2440.700   0.4110      1.0         
27      -583.347    -186.887    -2445.750   0.4121      1.0         
28      -583.347    -186.887    -2450.800   0.4133      1.0         
29      -583.347    -186.887    -2455.850   0.4144      1.0         
30      -583.347    -186.887    -2460.900   0.4156      1.0         
31      -583.347    -186.887    -2465.950   0.4169      1.0         
32      -583.347    -186.887    -2471.000   0.4183      1.0         
33      -584.667    -191.813    -2481.100   0.4189      1.0         
34      -583.347    -186.887    -2476.050   0.4196      1.0         
35      -584.667    -191.813    -2486.150   0.4204      1.0         
36      -584.667    -191.813    -2491.200   0.4218      1.0         
37      -584.667    -191.813    -2496.250   0.4233      1.0         
38      -584.667    -191.813    -2501.300   0.4247      1.0         
39      -584.667    -191.813    -2506.350   0.4261      1.0         
40      -578.032    -186.758    -2560.000   0.4521      2.0         
41      -578.032    -186.758    -2586.500   0.4605      2.0         
42      -578.032    -186.758    -2613.000   0.4707      2.0         
43      -578.032    -186.758    -2639.500   0.4821      2.0         
44      -578.032    -186.758    -2666.000   0.4986      2.0         
45      -578.032    -186.758    -2692.500   0.5238      2.0         
46      -570.268    -157.780    -2719.000   0.5666      2.0         
