Particle 38 (PDG=13, E=4.395 GeV)
96 hits:
Hit #   x [mm]      y [mm]      z [mm]      t [ns]      detector ID 
0       -1878.986   -521.451    -2692.500   0.1229      2.0         
1       -1842.244   -500.237    -2639.500   0.1302      2.0         
2       -1633.201   -380.771    -2319.500   0.1341      1.0         
3       -1639.447   -384.377    -2329.600   0.1347      1.0         
4       -1645.693   -387.983    -2339.700   0.1354      1.0         
5       -1628.275   -382.091    -2314.450   0.1358      1.0         
6       -1651.939   -391.590    -2349.800   0.1361      1.0         
7       -1634.521   -385.697    -2324.550   0.1364      1.0         
8       -1658.186   -395.196    -2359.900   0.1368      1.0         
9       -1805.502   -479.024    -2586.500   0.1370      2.0         
10      -1989.213   -585.090    -2878.000   0.1371      2.0         
11      -1640.767   -389.303    -2334.650   0.1371      1.0         
12      -1664.432   -398.802    -2370.000   0.1376      1.0         
13      -1647.013   -392.910    -2344.750   0.1378      1.0         
14      -1688.097   -408.301    -2405.350   0.1383      1.0         
15      -1670.678   -402.408    -2380.100   0.1383      1.0         
16      -1653.259   -396.516    -2354.850   0.1385      1.0         
17      -1676.924   -406.015    -2390.200   0.1391      1.0         
18      -1694.343   -411.907    -2415.450   0.1392      1.0         
19      -1683.170   -409.621    -2400.300   0.1399      1.0         
20      -1700.589   -415.513    -2425.550   0.1399      1.0         
21      -1706.835   -419.120    -2435.650   0.1405      1.0         
22      -1689.417   -413.227    -2410.400   0.1407      1.0         
23      -1713.081   -422.726    -2445.750   0.1409      1.0         
24      -1719.328   -426.332    -2455.850   0.1412      1.0         
25      -1725.574   -429.938    -2465.950   0.1414      1.0         
26      -1731.820   -433.545    -2476.050   0.1414      1.0         
27      -1695.663   -416.833    -2420.500   0.1415      1.0         
28      -1738.066   -437.151    -2486.150   0.1415      1.0         
29      -1628.275   -382.091    -2319.500   0.1417      1.0         
30      -1744.312   -440.757    -2496.250   0.1417      1.0         
31      -1750.559   -444.363    -2506.350   0.1420      1.0         
32      -1701.909   -420.440    -2430.600   0.1422      1.0         
33      -1622.028   -378.485    -2309.400   0.1422      1.0         
34      -1915.729   -542.664    -2772.000   0.1422      2.0         
35      -1708.155   -424.046    -2440.700   0.1427      1.0         
36      -1714.401   -427.652    -2450.800   0.1430      1.0         
37      -1720.648   -431.258    -2460.900   0.1432      1.0         
38      -1726.894   -434.865    -2471.000   0.1433      1.0         
39      -1733.140   -438.471    -2481.100   0.1434      1.0         
40      -1739.386   -442.077    -2491.200   0.1435      1.0         
41      -1658.186   -395.196    -2364.950   0.1439      1.0         
42      -1952.471   -563.877    -2825.000   0.1444      2.0         
43      -1664.432   -398.802    -2375.050   0.1447      1.0         
44      -1670.678   -402.408    -2385.150   0.1455      1.0         
45      -1676.924   -406.015    -2395.250   0.1463      1.0         
46      -1744.312   -440.757    -2501.300   0.1486      1.0         
47      -1731.820   -433.545    -2481.100   0.1553      1.0         
48      -1878.986   -521.451    -2719.000   0.1584      2.0         
49      -1736.746   -432.225    -2481.100   0.1592      1.0         
50      -2062.698   -627.517    -3010.500   0.1595      2.0         
51      -1850.008   -529.215    -2692.500   0.1621      2.0         
52      -1842.244   -500.237    -2666.000   0.1667      2.0         
53      -2025.956   -606.303    -2957.500   0.1669      2.0         
54      -2033.720   -635.281    -2984.000   0.1724      2.0         
55      -1805.502   -479.024    -2613.000   0.1734      2.0         
56      -1989.213   -585.090    -2904.500   0.1739      2.0         
57      -2180.690   -720.134    -3222.500   0.1771      2.0         
58      -1996.978   -614.068    -2931.000   0.1799      2.0         
59      -1768.759   -457.811    -2560.000   0.1801      2.0         
60      -1952.471   -563.877    -2851.500   0.1807      2.0         
61      -2136.183   -669.943    -3143.000   0.1810      2.0         
62      -2143.947   -698.921    -3169.500   0.1856      2.0         
63      -1915.729   -542.664    -2798.500   0.1881      2.0         
64      -2099.440   -648.730    -3090.000   0.1886      2.0         
65      -2062.698   -627.517    -3037.000   0.1914      2.0         
66      -2107.205   -677.708    -3116.500   0.1937      2.0         
67      -2298.681   -812.751    -3434.500   0.1947      2.0         
68      -1878.986   -521.451    -2745.500   0.1955      2.0         
69      -2254.174   -762.560    -3355.000   0.1973      2.0         
70      -2070.463   -656.494    -3063.500   0.2012      2.0         
71      -2261.939   -791.538    -3381.500   0.2021      2.0         
72      -2217.432   -741.347    -3302.000   0.2052      2.0         
73      -2225.197   -770.325    -3328.500   0.2091      2.0         
74      -2180.690   -720.134    -3249.000   0.2132      2.0         
75      -2416.673   -905.369    -3646.500   0.2144      2.0         
76      -2379.930   -884.156    -3593.500   0.2154      2.0         
77      -2188.454   -749.112    -3275.500   0.2171      2.0         
78      -2424.437   -934.346    -3673.000   0.2178      2.0         
79      -2350.953   -891.920    -3567.000   0.2196      2.0         
80      -2143.947   -698.921    -3196.000   0.2211      2.0         
81      -2387.695   -913.133    -3620.000   0.2243      2.0         
82      -2335.424   -833.965    -3514.000   0.2244      2.0         
83      -2343.188   -862.942    -3540.500   0.2280      2.0         
84      -2298.681   -812.751    -3461.000   0.2316      2.0         
85      -2261.939   -791.538    -3408.000   0.2320      2.0         
86      -2306.446   -841.729    -3487.500   0.2353      2.0         
